,precision,recall,f1-score,support
Normal,0.9406392694063926,0.8803418803418803,0.9094922737306843,234.0
Pneumonia,0.9308641975308642,0.9666666666666667,0.9484276729559749,390.0
accuracy,0.9342948717948718,0.9342948717948718,0.9342948717948718,0.9342948717948718
macro avg,0.9357517334686285,0.9235042735042736,0.9289599733433296,624.0
weighted avg,0.9345298494841874,0.9342948717948718,0.933826898246491,624.0
